id,name,email,semester,course1,course2,course3,course4,course5
119386578,Julie Reese,julie.reese@stonybrook.edu,Fall 2022,SOC 101,CSE 373,CSE 220,ISE 327,CSE 115
119386578,Julie Reese,julie.reese@stonybrook.edu,Spring 2022,CSE 320,AMS 210,CSE 416,CSE 216,CSE 220
117322212,Kathleen Mills,kathleen.mills@stonybrook.edu,Spring 2023,CSE 214,CSE 101,ISE 373,ISE 327,WRT 101
117322212,Kathleen Mills,kathleen.mills@stonybrook.edu,Fall 2022,ESS 131,AMS 310,EST 216,EST 216,EST 300
117322212,Kathleen Mills,kathleen.mills@stonybrook.edu,Spring 2022,CSE 327,SOC 101,ISE 373,EST 216,CSE 310
114246736,Rhonda Thompson,rhonda.thompson@stonybrook.edu,Spring 2023,CSE 320,EST 216,CSE 373,EST 316,EST 300
114246736,Rhonda Thompson,rhonda.thompson@stonybrook.edu,Fall 2022,CSE 115,ESS 131,CSE 214,CSE 373,CSE 327
114246736,Rhonda Thompson,rhonda.thompson@stonybrook.edu,Spring 2022,AMS 301,CSE 115,CSE 114,WAE 146,CSE 101
114409184,William Orr,william.orr@stonybrook.edu,Spring 2023,EST 300,AMS 216,EST 220,CSE 214,AMS 310
114409184,William Orr,william.orr@stonybrook.edu,Fall 2022,CSE 216,CSE 214,ESS 310,WRT 101,AMS 310
114409184,William Orr,william.orr@stonybrook.edu,Spring 2022,CSE 310,CSE 114,WRT 101,POL 102,CSE 115
115331201,Shawn Love,shawn.love@stonybrook.edu,Spring 2023,SOC 101,ESS 310,CSE 115,AMS 301,CSE 214
115331201,Shawn Love,shawn.love@stonybrook.edu,Fall 2022,WRT 102,AMS 161,CSE 373,EST 220,AMS 216
115331201,Shawn Love,shawn.love@stonybrook.edu,Spring 2022,AMS 355,AMS 301,WRT 101,WRT 102,ISE 373
116193969,Mrs. Susan Williams MD,mrs..susan.williams.md@stonybrook.edu,Spring 2023,AMS 216,AMS 151,CSE 214,ESS 310,EST 216
116193969,Mrs. Susan Williams MD,mrs..susan.williams.md@stonybrook.edu,Fall 2022,AMS 301,AMS 310,WRT 102,CSE 303,ISE 327
116193969,Mrs. Susan Williams MD,mrs..susan.williams.md@stonybrook.edu,Spring 2022,CSE 310,WRT 102,EST 220,EST 216,CSE 220
115986328,Jonathan Washington,jonathan.washington@stonybrook.edu,Spring 2023,AMS 355,EST 316,SOC 101,EST 300,WRT 102
115986328,Jonathan Washington,jonathan.washington@stonybrook.edu,Fall 2022,CSE 316,WRT 101,EST 216,EST 216,POL 101
115986328,Jonathan Washington,jonathan.washington@stonybrook.edu,Spring 2022,CSE 216,EST 216,AMS 301,CSE 114,AMS 210
118304677,Michael Scott,michael.scott@stonybrook.edu,Spring 2023,CSE 101,CSE 337,AMS 301,CSE 114,CSE 416
118304677,Michael Scott,michael.scott@stonybrook.edu,Fall 2022,WRT 102,EST 216,AMS 216,CSE 101,CSE 310
118304677,Michael Scott,michael.scott@stonybrook.edu,Spring 2022,EST 216,POL 101,ISE 373,WAE 146,SOC 101
111169018,Cheyenne Powell,cheyenne.powell@stonybrook.edu,Spring 2023,CSE 214,SOC 102,ESS 310,ISE 327,ISE 373
111169018,Cheyenne Powell,cheyenne.powell@stonybrook.edu,Fall 2022,CSE 310,AMS 310,EST 216,ESS 131,ISE 327
111169018,Cheyenne Powell,cheyenne.powell@stonybrook.edu,Spring 2022,EST 214,WAE 146,CSE 303,CSE 214,AMS 161
118107113,Nicole Callahan,nicole.callahan@stonybrook.edu,Spring 2023,CSE 101,CSE 214,WRT 102,CSE 310,CSE 320
118107113,Nicole Callahan,nicole.callahan@stonybrook.edu,Fall 2022,EST 216,AMS 355,CSE 320,CSE 327,EST 316
118107113,Nicole Callahan,nicole.callahan@stonybrook.edu,Spring 2022,CSE 115,WAE 146,CSE 316,ESS 310,CSE 114
118439532,Mrs. Lisa Nielsen,mrs..lisa.nielsen@stonybrook.edu,Spring 2023,CSE 310,CSE 115,CSE 316,CSE 114,ISE 373
118439532,Mrs. Lisa Nielsen,mrs..lisa.nielsen@stonybrook.edu,Fall 2022,WRT 101,SOC 102,CSE 101,CSE 316,CSE 320
118439532,Mrs. Lisa Nielsen,mrs..lisa.nielsen@stonybrook.edu,Spring 2022,CSE 303,AMS 161,CSE 316,CSE 416,CSE 115
115115583,Justin Arnold,justin.arnold@stonybrook.edu,Spring 2023,WRT 101,AMS 310,AMS 301,EST 214,CSE 327
115115583,Justin Arnold,justin.arnold@stonybrook.edu,Fall 2022,CSE 303,CSE 216,CSE 327,EST 316,CSE 316
115115583,Justin Arnold,justin.arnold@stonybrook.edu,Spring 2022,EST 220,CSE 214,CSE 216,CSE 310,EST 316
114278205,Jared Chavez,jared.chavez@stonybrook.edu,Spring 2023,CSE 320,ISE 327,CSE 337,SOC 101,CSE 214
114278205,Jared Chavez,jared.chavez@stonybrook.edu,Fall 2022,EST 220,CSE 327,CSE 337,CSE 114,WRT 102
114278205,Jared Chavez,jared.chavez@stonybrook.edu,Spring 2022,EST 220,AMS 151,ESS 131,WAE 146,CSE 373
113832604,John Martinez,john.martinez@stonybrook.edu,Spring 2023,CSE 310,CSE 101,POL 102,FLM 101,AMS 210
113832604,John Martinez,john.martinez@stonybrook.edu,Fall 2022,CSE 373,AMS 355,AMS 210,AMS 310,EST 316
113832604,John Martinez,john.martinez@stonybrook.edu,Spring 2022,SOC 102,CSE 320,CSE 310,CSE 416,WRT 102
117346870,Chelsey Martin,chelsey.martin@stonybrook.edu,Spring 2023,ISE 327,WAE 146,EST 300,EST 316,POL 101
117346870,Chelsey Martin,chelsey.martin@stonybrook.edu,Fall 2022,AMS 355,AMS 216,EST 216,CSE 101,POL 102
117346870,Chelsey Martin,chelsey.martin@stonybrook.edu,Spring 2022,FLM 102,EST 300,EST 216,CSE 101,WRT 102
112607400,William Adams,william.adams@stonybrook.edu,Spring 2023,CSE 316,CSE 337,ISE 327,ISE 373,EST 214
112607400,William Adams,william.adams@stonybrook.edu,Fall 2022,CSE 220,EST 220,EST 216,ESS 131,WRT 102
112607400,William Adams,william.adams@stonybrook.edu,Spring 2022,CSE 114,ESS 131,FLM 102,FLM 101,CSE 115
114389322,Kelly Sullivan,kelly.sullivan@stonybrook.edu,Spring 2023,WRT 102,SOC 102,CSE 327,CSE 214,CSE 216
114389322,Kelly Sullivan,kelly.sullivan@stonybrook.edu,Fall 2022,FLM 101,SOC 101,EST 216,AMS 161,ISE 327
114389322,Kelly Sullivan,kelly.sullivan@stonybrook.edu,Spring 2022,AMS 216,ESS 310,POL 101,ISE 327,AMS 210
114007387,Cynthia Huber,cynthia.huber@stonybrook.edu,Spring 2023,CSE 316,EST 214,ISE 327,CSE 220,CSE 101
114007387,Cynthia Huber,cynthia.huber@stonybrook.edu,Fall 2022,CSE 337,POL 102,CSE 220,FLM 102,WRT 101
114007387,Cynthia Huber,cynthia.huber@stonybrook.edu,Spring 2022,EST 216,CSE 114,CSE 337,AMS 301,EST 316
116823401,Heather Santos,heather.santos@stonybrook.edu,Spring 2023,AMS 310,POL 101,CSE 316,CSE 214,CSE 337
116823401,Heather Santos,heather.santos@stonybrook.edu,Fall 2022,AMS 161,CSE 216,CSE 337,EST 216,AMS 151
116823401,Heather Santos,heather.santos@stonybrook.edu,Spring 2022,AMS 151,AMS 301,CSE 373,CSE 320,ISE 373
112464124,Tina Fisher,tina.fisher@stonybrook.edu,Spring 2023,CSE 115,CSE 220,FLM 102,AMS 161,CSE 316
112464124,Tina Fisher,tina.fisher@stonybrook.edu,Fall 2022,EST 300,AMS 210,CSE 373,EST 214,EST 216
112464124,Tina Fisher,tina.fisher@stonybrook.edu,Spring 2022,CSE 310,CSE 416,CSE 114,EST 216,AMS 355
119769093,Melissa Hill,melissa.hill@stonybrook.edu,Spring 2023,CSE 220,AMS 301,ISE 327,ISE 373,CSE 310
119769093,Melissa Hill,melissa.hill@stonybrook.edu,Fall 2022,EST 220,FLM 102,CSE 214,FLM 101,CSE 416
119769093,Melissa Hill,melissa.hill@stonybrook.edu,Spring 2022,CSE 101,CSE 115,EST 216,CSE 373,WAE 146
113837627,Dylan Larsen,dylan.larsen@stonybrook.edu,Spring 2023,POL 102,SOC 102,WRT 102,CSE 316,CSE 101
113837627,Dylan Larsen,dylan.larsen@stonybrook.edu,Fall 2022,CSE 316,EST 300,CSE 337,CSE 114,POL 102
113837627,Dylan Larsen,dylan.larsen@stonybrook.edu,Spring 2022,CSE 220,ISE 373,CSE 320,CSE 373,WRT 101
115402244,Joshua Smith,joshua.smith@stonybrook.edu,Spring 2023,CSE 416,CSE 327,EST 216,CSE 337,SOC 101
115402244,Joshua Smith,joshua.smith@stonybrook.edu,Fall 2022,CSE 310,FLM 101,CSE 416,ISE 327,CSE 320
115402244,Joshua Smith,joshua.smith@stonybrook.edu,Spring 2022,WRT 102,WAE 146,CSE 220,CSE 337,EST 216
119667693,Brandon House,brandon.house@stonybrook.edu,Spring 2023,EST 216,CSE 337,ISE 327,SOC 102,AMS 301
119667693,Brandon House,brandon.house@stonybrook.edu,Fall 2022,ESS 310,AMS 161,ISE 327,CSE 327,CSE 316
119667693,Brandon House,brandon.house@stonybrook.edu,Spring 2022,AMS 355,AMS 216,CSE 320,CSE 303,POL 102
116109474,Anna Washington,anna.washington@stonybrook.edu,Spring 2023,WAE 146,CSE 101,ESS 131,EST 316,POL 102
116109474,Anna Washington,anna.washington@stonybrook.edu,Fall 2022,CSE 101,FLM 101,EST 300,SOC 101,AMS 301
116109474,Anna Washington,anna.washington@stonybrook.edu,Spring 2022,EST 300,AMS 216,CSE 320,POL 102,AMS 310
111793888,Randy Martin,randy.martin@stonybrook.edu,Spring 2023,EST 214,ISE 327,FLM 102,ESS 131,AMS 355
111793888,Randy Martin,randy.martin@stonybrook.edu,Fall 2022,SOC 101,CSE 303,CSE 214,CSE 220,AMS 310
111793888,Randy Martin,randy.martin@stonybrook.edu,Spring 2022,WAE 146,CSE 316,POL 102,AMS 161,EST 216
114691473,Jo Lucas,jo.lucas@stonybrook.edu,Spring 2023,CSE 214,ISE 327,EST 214,EST 216,EST 316
114691473,Jo Lucas,jo.lucas@stonybrook.edu,Fall 2022,AMS 301,CSE 220,AMS 310,SOC 102,CSE 337
114691473,Jo Lucas,jo.lucas@stonybrook.edu,Spring 2022,WRT 102,AMS 161,CSE 101,AMS 216,ISE 327
118023266,Jessica Reeves,jessica.reeves@stonybrook.edu,Spring 2023,SOC 102,WAE 146,POL 102,CSE 320,CSE 310
118023266,Jessica Reeves,jessica.reeves@stonybrook.edu,Fall 2022,AMS 355,FLM 101,EST 214,EST 220,EST 300
118023266,Jessica Reeves,jessica.reeves@stonybrook.edu,Spring 2022,CSE 416,WAE 146,FLM 101,CSE 337,EST 216
116627006,Kristy Myers,kristy.myers@stonybrook.edu,Spring 2023,POL 102,CSE 303,ESS 131,EST 316,WAE 146
116627006,Kristy Myers,kristy.myers@stonybrook.edu,Fall 2022,CSE 114,AMS 151,CSE 416,WRT 101,POL 101
116627006,Kristy Myers,kristy.myers@stonybrook.edu,Spring 2022,CSE 316,EST 316,CSE 327,POL 102,EST 220
118666389,Sharon Reed,sharon.reed@stonybrook.edu,Spring 2023,CSE 216,CSE 373,EST 316,CSE 114,ESS 131
118666389,Sharon Reed,sharon.reed@stonybrook.edu,Fall 2022,AMS 151,CSE 320,POL 102,AMS 161,WRT 102
118666389,Sharon Reed,sharon.reed@stonybrook.edu,Spring 2022,CSE 101,CSE 320,CSE 220,EST 214,CSE 214
116080241,Mrs. Christina Jones MD,mrs..christina.jones.md@stonybrook.edu,Spring 2023,SOC 102,AMS 301,FLM 101,CSE 214,EST 220
116080241,Mrs. Christina Jones MD,mrs..christina.jones.md@stonybrook.edu,Fall 2022,ESS 131,POL 102,CSE 320,AMS 161,CSE 316
116080241,Mrs. Christina Jones MD,mrs..christina.jones.md@stonybrook.edu,Spring 2022,CSE 337,AMS 355,CSE 101,WRT 101,WRT 102
111527746,Karen Wilson,karen.wilson@stonybrook.edu,Spring 2023,CSE 114,CSE 214,WRT 102,CSE 316,EST 216
111527746,Karen Wilson,karen.wilson@stonybrook.edu,Fall 2022,AMS 216,CSE 101,CSE 373,POL 101,AMS 161
111527746,Karen Wilson,karen.wilson@stonybrook.edu,Spring 2022,SOC 102,WAE 146,FLM 102,CSE 310,ESS 131
117909922,Tina Smith,tina.smith@stonybrook.edu,Spring 2023,CSE 416,EST 316,CSE 114,EST 214,ISE 327
117909922,Tina Smith,tina.smith@stonybrook.edu,Fall 2022,CSE 220,POL 102,EST 300,WRT 102,CSE 337
117909922,Tina Smith,tina.smith@stonybrook.edu,Spring 2022,SOC 102,AMS 310,CSE 216,ISE 373,CSE 416
113133073,Deanna Anderson,deanna.anderson@stonybrook.edu,Spring 2023,AMS 301,WRT 101,WAE 146,CSE 337,EST 220
113133073,Deanna Anderson,deanna.anderson@stonybrook.edu,Fall 2022,CSE 320,AMS 216,EST 216,EST 220,CSE 114
113133073,Deanna Anderson,deanna.anderson@stonybrook.edu,Spring 2022,CSE 373,CSE 114,POL 102,POL 101,CSE 101
118669860,Melissa Hill,melissa.hill@stonybrook.edu1,Spring 2023,ISE 327,CSE 310,AMS 310,AMS 355,WAE 146
118669860,Melissa Hill,melissa.hill@stonybrook.edu1,Fall 2022,WAE 146,CSE 337,ESS 310,WRT 102,CSE 316
118669860,Melissa Hill,melissa.hill@stonybrook.edu1,Spring 2022,AMS 216,POL 102,AMS 355,SOC 102,WAE 146
117860317,John Barber,john.barber@stonybrook.edu,Spring 2023,AMS 301,SOC 102,FLM 102,EST 220,EST 300
117860317,John Barber,john.barber@stonybrook.edu,Fall 2022,AMS 301,WAE 146,AMS 355,EST 300,CSE 115
117860317,John Barber,john.barber@stonybrook.edu,Spring 2022,CSE 216,SOC 102,CSE 114,CSE 214,ESS 310
119291981,Mrs. Nicole Schmidt,mrs..nicole.schmidt@stonybrook.edu,Spring 2023,ISE 327,POL 102,SOC 102,CSE 373,EST 214
119291981,Mrs. Nicole Schmidt,mrs..nicole.schmidt@stonybrook.edu,Fall 2022,FLM 101,ESS 131,CSE 114,FLM 102,EST 300
119291981,Mrs. Nicole Schmidt,mrs..nicole.schmidt@stonybrook.edu,Spring 2022,WRT 101,SOC 102,POL 102,EST 220,CSE 101
114327765,Lucas Peterson,lucas.peterson@stonybrook.edu,Spring 2023,ESS 131,WRT 101,AMS 216,POL 101,FLM 102
114327765,Lucas Peterson,lucas.peterson@stonybrook.edu,Fall 2022,EST 220,CSE 337,CSE 114,ISE 373,CSE 216
114327765,Lucas Peterson,lucas.peterson@stonybrook.edu,Spring 2022,WRT 102,CSE 101,CSE 327,AMS 355,FLM 102
119201249,Steven Arnold,steven.arnold@stonybrook.edu,Spring 2023,AMS 151,CSE 220,AMS 310,CSE 214,EST 316
119201249,Steven Arnold,steven.arnold@stonybrook.edu,Fall 2022,CSE 327,CSE 115,CSE 216,EST 216,POL 101
119201249,Steven Arnold,steven.arnold@stonybrook.edu,Spring 2022,EST 216,WRT 101,CSE 337,FLM 101,ESS 310
115388165,Edgar Lee,edgar.lee@stonybrook.edu,Spring 2023,AMS 310,EST 220,ISE 327,CSE 320,EST 216
115388165,Edgar Lee,edgar.lee@stonybrook.edu,Fall 2022,WAE 146,CSE 320,ISE 327,AMS 310,EST 220
115388165,Edgar Lee,edgar.lee@stonybrook.edu,Spring 2022,ESS 310,EST 214,POL 101,WRT 102,WAE 146
114006540,Jessica Robinson,jessica.robinson@stonybrook.edu,Spring 2023,ISE 327,WRT 102,CSE 416,CSE 373,EST 214
114006540,Jessica Robinson,jessica.robinson@stonybrook.edu,Fall 2022,AMS 161,CSE 316,EST 300,CSE 320,CSE 373
114006540,Jessica Robinson,jessica.robinson@stonybrook.edu,Spring 2022,FLM 101,AMS 216,CSE 416,AMS 210,CSE 214
112060535,Thomas Davis,thomas.davis@stonybrook.edu,Spring 2023,EST 214,SOC 102,CSE 303,CSE 114,EST 216
112060535,Thomas Davis,thomas.davis@stonybrook.edu,Fall 2022,EST 316,CSE 327,ISE 327,AMS 301,POL 101
112060535,Thomas Davis,thomas.davis@stonybrook.edu,Spring 2022,ISE 373,SOC 101,WRT 101,EST 216,ESS 310
115565960,Yolanda May,yolanda.may@stonybrook.edu,Spring 2023,AMS 301,AMS 161,ISE 373,WAE 146,FLM 101
115565960,Yolanda May,yolanda.may@stonybrook.edu,Fall 2022,CSE 303,CSE 214,CSE 115,POL 102,AMS 355
115565960,Yolanda May,yolanda.may@stonybrook.edu,Spring 2022,AMS 216,AMS 210,CSE 373,AMS 310,FLM 102
112286343,Alicia Wright,alicia.wright@stonybrook.edu,Spring 2023,EST 220,EST 214,CSE 220,EST 216,SOC 101
112286343,Alicia Wright,alicia.wright@stonybrook.edu,Fall 2022,CSE 320,SOC 102,FLM 101,AMS 355,AMS 301
112286343,Alicia Wright,alicia.wright@stonybrook.edu,Spring 2022,ESS 131,CSE 327,CSE 115,WRT 101,POL 102
116501531,Tanya Baker,tanya.baker@stonybrook.edu,Spring 2023,WRT 101,AMS 151,CSE 214,CSE 310,FLM 101
116501531,Tanya Baker,tanya.baker@stonybrook.edu,Fall 2022,ESS 310,CSE 115,CSE 303,CSE 316,ESS 131
116501531,Tanya Baker,tanya.baker@stonybrook.edu,Spring 2022,AMS 355,EST 214,POL 102,CSE 416,AMS 310
119830969,Anthony Boone,anthony.boone@stonybrook.edu,Spring 2023,CSE 216,FLM 101,EST 220,AMS 210,SOC 101
119830969,Anthony Boone,anthony.boone@stonybrook.edu,Fall 2022,CSE 316,FLM 101,AMS 310,SOC 101,CSE 327
119830969,Anthony Boone,anthony.boone@stonybrook.edu,Spring 2022,AMS 301,AMS 355,SOC 102,POL 101,CSE 216
111195821,Daniel Huang,daniel.huang@stonybrook.edu,Spring 2023,WAE 146,CSE 310,CSE 220,AMS 216,EST 220
111195821,Daniel Huang,daniel.huang@stonybrook.edu,Fall 2022,AMS 355,WRT 102,SOC 101,CSE 316,POL 101
111195821,Daniel Huang,daniel.huang@stonybrook.edu,Spring 2022,CSE 310,EST 300,FLM 101,CSE 303,AMS 301
116984670,Lauren Hansen,lauren.hansen@stonybrook.edu,Spring 2023,AMS 161,WRT 102,CSE 320,CSE 115,EST 316
116984670,Lauren Hansen,lauren.hansen@stonybrook.edu,Fall 2022,AMS 355,SOC 101,ISE 327,CSE 214,CSE 115
116984670,Lauren Hansen,lauren.hansen@stonybrook.edu,Spring 2022,CSE 337,WRT 101,EST 214,AMS 216,WAE 146
116928941,Alexandra Mendez,alexandra.mendez@stonybrook.edu,Spring 2023,CSE 114,EST 316,CSE 220,ESS 131,CSE 303
116928941,Alexandra Mendez,alexandra.mendez@stonybrook.edu,Fall 2022,EST 316,EST 300,ESS 131,AMS 310,AMS 210
116928941,Alexandra Mendez,alexandra.mendez@stonybrook.edu,Spring 2022,CSE 216,CSE 220,CSE 337,WRT 102,FLM 101
111317686,Olivia Lewis,olivia.lewis@stonybrook.edu,Spring 2023,WAE 146,WRT 101,FLM 102,CSE 115,EST 216
111317686,Olivia Lewis,olivia.lewis@stonybrook.edu,Fall 2022,AMS 310,AMS 161,CSE 216,WRT 102,EST 220
111317686,Olivia Lewis,olivia.lewis@stonybrook.edu,Spring 2022,CSE 216,EST 300,CSE 337,SOC 101,AMS 161
115400650,Dr. Sean Dixon,dr..sean.dixon@stonybrook.edu,Spring 2023,POL 102,CSE 115,WRT 101,AMS 355,CSE 101
115400650,Dr. Sean Dixon,dr..sean.dixon@stonybrook.edu,Fall 2022,AMS 210,EST 316,CSE 216,ESS 310,CSE 310
115400650,Dr. Sean Dixon,dr..sean.dixon@stonybrook.edu,Spring 2022,AMS 210,FLM 102,CSE 303,CSE 316,CSE 320
119392036,Brittany Knapp,brittany.knapp@stonybrook.edu,Spring 2023,CSE 214,CSE 101,SOC 101,CSE 416,ISE 327
119392036,Brittany Knapp,brittany.knapp@stonybrook.edu,Fall 2022,CSE 320,AMS 301,EST 220,EST 214,ISE 327
119392036,Brittany Knapp,brittany.knapp@stonybrook.edu,Spring 2022,EST 216,AMS 355,AMS 161,EST 216,CSE 320
118030700,Kathy Pacheco,kathy.pacheco@stonybrook.edu,Spring 2023,WAE 146,EST 214,SOC 102,CSE 216,CSE 316
118030700,Kathy Pacheco,kathy.pacheco@stonybrook.edu,Fall 2022,CSE 337,AMS 310,EST 316,CSE 316,EST 220
118030700,Kathy Pacheco,kathy.pacheco@stonybrook.edu,Spring 2022,ISE 373,EST 316,ISE 327,CSE 316,EST 220
117389342,David White,david.white@stonybrook.edu,Spring 2023,ESS 310,AMS 210,CSE 337,WRT 101,POL 101
117389342,David White,david.white@stonybrook.edu,Fall 2022,CSE 310,POL 101,EST 300,CSE 303,CSE 373
117389342,David White,david.white@stonybrook.edu,Spring 2022,CSE 416,SOC 102,CSE 316,POL 101,CSE 114
119869985,Randy Flores,randy.flores@stonybrook.edu,Spring 2023,AMS 355,CSE 373,EST 220,AMS 301,CSE 337
119869985,Randy Flores,randy.flores@stonybrook.edu,Fall 2022,CSE 327,ISE 327,CSE 303,FLM 102,AMS 151
119869985,Randy Flores,randy.flores@stonybrook.edu,Spring 2022,FLM 102,CSE 327,ESS 131,CSE 114,FLM 101
114886298,Melinda Morris,melinda.morris@stonybrook.edu,Spring 2023,EST 220,FLM 101,CSE 101,EST 216,AMS 355
114886298,Melinda Morris,melinda.morris@stonybrook.edu,Fall 2022,WRT 101,AMS 161,EST 214,WRT 102,CSE 337
114886298,Melinda Morris,melinda.morris@stonybrook.edu,Spring 2022,EST 220,POL 101,EST 300,CSE 114,CSE 214
111857968,Ralph Smith,ralph.smith@stonybrook.edu,Spring 2023,EST 300,CSE 320,POL 102,WRT 101,ISE 373
111857968,Ralph Smith,ralph.smith@stonybrook.edu,Fall 2022,AMS 301,CSE 220,CSE 101,CSE 373,CSE 320
111857968,Ralph Smith,ralph.smith@stonybrook.edu,Spring 2022,AMS 161,EST 216,CSE 316,CSE 101,CSE 220
116860063,Dylan Johnson,dylan.johnson@stonybrook.edu,Spring 2023,AMS 210,SOC 102,WRT 102,AMS 151,WAE 146
116860063,Dylan Johnson,dylan.johnson@stonybrook.edu,Fall 2022,WAE 146,SOC 101,POL 101,EST 220,CSE 416
116860063,Dylan Johnson,dylan.johnson@stonybrook.edu,Spring 2022,AMS 310,EST 216,CSE 416,CSE 214,ESS 131
118102418,Steven Wilson,steven.wilson@stonybrook.edu,Spring 2023,CSE 220,AMS 310,CSE 327,AMS 210,POL 101
118102418,Steven Wilson,steven.wilson@stonybrook.edu,Fall 2022,CSE 216,AMS 355,ISE 373,FLM 102,CSE 373
118102418,Steven Wilson,steven.wilson@stonybrook.edu,Spring 2022,AMS 301,CSE 316,AMS 151,EST 216,CSE 310
111255060,Harold Evans,harold.evans@stonybrook.edu,Spring 2023,CSE 416,WRT 101,POL 102,EST 316,AMS 216
111255060,Harold Evans,harold.evans@stonybrook.edu,Fall 2022,ISE 327,AMS 210,CSE 310,AMS 355,POL 102
111255060,Harold Evans,harold.evans@stonybrook.edu,Spring 2022,ESS 310,EST 220,AMS 355,CSE 115,EST 216
112520452,Michelle Alvarez,michelle.alvarez@stonybrook.edu,Spring 2023,CSE 220,EST 220,FLM 101,CSE 101,POL 102
112520452,Michelle Alvarez,michelle.alvarez@stonybrook.edu,Fall 2022,SOC 101,CSE 337,CSE 101,EST 216,WRT 101
112520452,Michelle Alvarez,michelle.alvarez@stonybrook.edu,Spring 2022,WAE 146,WRT 101,AMS 355,FLM 102,AMS 151
111182126,Tamara Adkins,tamara.adkins@stonybrook.edu,Spring 2023,EST 316,CSE 220,EST 214,AMS 151,SOC 101
